model,family,regime,horizon,sum,count,rate,lo,hi
qwen7b,cipher,compressed,2,5,25,0.2,0.08860454100652487,0.3913133553653824
qwen7b,cipher,compressed,4,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,compressed,8,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,compressed,16,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,compressed,32,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,natural,2,5,25,0.2,0.08860454100652487,0.3913133553653824
qwen7b,cipher,natural,4,1,25,0.04,0.007096050386699165,0.19544472405022525
qwen7b,cipher,natural,8,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,natural,16,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,natural,32,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,padded,2,3,25,0.12,0.04166741357068093,0.2995619218337349
qwen7b,cipher,padded,4,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,padded,8,1,25,0.04,0.007096050386699165,0.19544472405022525
qwen7b,cipher,padded,16,0,25,0.0,0.0,0.13319649395317873
qwen7b,cipher,padded,32,0,25,0.0,0.0,0.13319649395317873
qwen7b,ledger,compressed,2,21,25,0.84,0.6534598601976183,0.9359665239142201
qwen7b,ledger,compressed,4,16,25,0.64,0.44518154601046633,0.7975234356826436
qwen7b,ledger,compressed,8,9,25,0.36,0.20247656431735636,0.5548184539895337
qwen7b,ledger,compressed,16,3,25,0.12,0.04166741357068093,0.2995619218337349
qwen7b,ledger,compressed,32,1,25,0.04,0.007096050386699165,0.19544472405022525
qwen7b,ledger,natural,2,25,25,1.0,0.8668035060468213,1.0
qwen7b,ledger,natural,4,25,25,1.0,0.8668035060468213,1.0
qwen7b,ledger,natural,8,24,25,0.96,0.8045552759497747,0.9929039496133008
qwen7b,ledger,natural,16,21,25,0.84,0.6534598601976183,0.9359665239142201
qwen7b,ledger,natural,32,17,25,0.68,0.48409913734576715,0.8279501248310887
qwen7b,ledger,padded,2,1,25,0.04,0.007096050386699165,0.19544472405022525
qwen7b,ledger,padded,4,4,25,0.16,0.06403347608577989,0.34654013980238163
qwen7b,ledger,padded,8,0,25,0.0,0.0,0.13319649395317873
qwen7b,ledger,padded,16,0,25,0.0,0.0,0.13319649395317873
qwen7b,ledger,padded,32,0,25,0.0,0.0,0.13319649395317873
qwen7b,refchain,compressed,2,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,compressed,4,13,25,0.52,0.334982179531473,0.6996899607103998
qwen7b,refchain,compressed,8,7,25,0.28,0.1428367383738157,0.47576971896558296
qwen7b,refchain,compressed,16,10,25,0.4,0.23403057664190918,0.5926087221487266
qwen7b,refchain,compressed,32,7,25,0.28,0.1428367383738157,0.47576971896558296
qwen7b,refchain,natural,2,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,natural,4,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,natural,8,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,natural,16,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,natural,32,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,padded,2,13,25,0.52,0.334982179531473,0.6996899607103998
qwen7b,refchain,padded,4,20,25,0.8,0.6086866446346177,0.9113954589934752
qwen7b,refchain,padded,8,18,25,0.72,0.5242302810344169,0.8571632616261843
qwen7b,refchain,padded,16,25,25,1.0,0.8668035060468213,1.0
qwen7b,refchain,padded,32,18,25,0.72,0.5242302810344169,0.8571632616261843
qwen7b,toolqa,natural,2,15,15,1.0,0.7961107336956521,1.0
qwen7b,toolqa,natural,4,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
qwen7b,toolqa,natural,8,2,15,0.13333333333333333,0.0373604698913593,0.3788249920651624
qwen7b,toolqa,natural,16,5,15,0.3333333333333333,0.15176100694691236,0.5828687484878701
